,first,last,employer,title,name,Fullname,start_at_this,school_current,title_current,gender,come_from,move_to,department,website,cv,phd,phd_year,master,master_year,bachelor,bachelor_year,career,postdoc,Unnamed: 21,id
16,Alison,Neff,Virginia Polytechnic Institute and State University,Assistant Professor,Alison Neff,Alison Neff,,N,,F,,VIS,,"https://bov.vt.edu/assets/open-session-materials-for-bov-retreat_aug-18-19,-2017.pdf",,,,,,,,,,,
17,Alla,Rozovskaya,Virginia Polytechnic Institute and State University,Assistant Professor,Alla Rozovskaya,Alla Rozovskaya,2016,N,ASST,F,,CUNY,Computer Science Department,https://sites.google.com/site/allamrozovskaya/home; https://www.linkedin.com/in/alla-rozovskaya-08908a54,,University of Illinoise at Urbana-Champagne,2009-2013,,,,,Virginia Tech 2015-2016,Columbia University 2013-2015,,['AUTHOR_ID:51665922500']
18,Allison,Tegge,Virginia Polytechnic Institute and State University,Research Assistant Professor,Allison Tegge,Allison Tegge,2016,Y,ASST,F,,,Statistics,,https://www.stat.vt.edu/content/dam/stat_vt_edu/graphics-and-pdfs/faculty-cvs/2018/Tegge_CV.pdf,"University of Missouri, Columbia",2008-2012,"University of Illinois, Urbana-Champaign",2006-2008,"University of Illinois, Urbana-Champaign",2003-2006,," Virginia Tech, 2013-2014; National Institute of Health, 2014-2016",,['AUTHOR_ID:18038945000']
19,Althea,Aschmann,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Althea D. Aschmann,Althea Aschmann,2013,N,,F,,Beautiful Creations,University Libraries,https://www.linkedin.com/in/althea-aschmann-54586188/,,,,Kent State University,1975-1976,The University of Kansas,1970-1975,Virginia Tech 1998-2013; Emporia State University 1995-1998,,,['AUTHOR_ID:6506601061']
20,Amanda,Stewart,Virginia Polytechnic Institute and State University,Assistant Professor,Amanda C. Stewart,Amanda Stewart,2013,Y,ASST,F,,,Food Science and technolohu,linkedin.com/in/amanda-stewart-9b526839/,,Purdue University,2013,Purdue University,2004,Purdue University,2003,,,,['AUTHOR_ID:56386592000']
21,Amanda,Demmer,Virginia Polytechnic Institute and State University,Assistant Professor,Amanda Demmer,Amanda Demmer,2018,Y,ASST,F,,,History,,https://drive.google.com/file/d/15Rse_nWsLPPUSkfs48QbP_2RSj7sfxJW/view,University of New Hampshire,2017,University of New Hampshire,2012,State University of New York at Fredonia,2010," Boston College, 2017-2018",,,
22,Amanda,French,Virginia Polytechnic Institute and State University,Prof - Associate Professor,Amanda French,Amanda French,2017,N,,F,, George Washington University,University Libraries,https://scholar.google.com/citations?user=uyEqY5YAAAAJ&hl=en,http://amandafrench.net/files/Resume_Amanda_French.pdf,University of Virginia,2004,University of Virginia,1995,"University of Coloado, Boulder",1992,Virginia Tech 2015-2017; George Mason University 2010-2014;,New York University 2008-2010; North Carolina State University 2004-2007; Emory University 2007-2008,,
23,Amanda,Morris,Virginia Polytechnic Institute and State University,Assistant Professor,Amanda Morris,Amanda Morris,2011,Y,ASSOC,F,,,Chemistry,,https://ajmorrisgroupchem.wp.prod.es.cloud.vt.edu/wp-content/uploads/2020/01/CV_01132020.pdf,John Hopkins University,2009,John Hopkins University,2007,Pennsylvania State University,2005,,Princeton University 2009 - 2011,,"['AUTHOR_ID:17435235600', 'AUTHOR_ID:57193164770']"
24,Amanda,Nelson,Virginia Polytechnic Institute and State University,Assistant Professor,Amanda Nelson,Amanda Nelson,2013,Y,ASSOC,F,,,School of Performing Arts,https://www.linkedin.com/in/amanda-nelson-28a6397,,Tufts University,2000,San Fransisco State University,1995,"University of California, Irvine",1991,,,,['AUTHOR_ID:56649966000']
25,Amy,Gillick,Virginia Polytechnic Institute and State University,Assistant Professor,Amy Gillick,Amy Gillick,2016,N,ASST,F,,Austin Peay State University,Music,https://www.apsu.edu/music/facstaff/gillicka.php ; https://www.amygillick.com/bio,https://www.linkedin.com/in/amy-gillick-03699b74,University of California Los Angeles,,University of California Los Angeles,,"California State University, Long Beach",,Concordia University Irvine 2008-2014; Virginia Tech 2014-2016;,,,['AUTHOR_ID:57090682400']
26,Amy,Pruden-Bagchi,Virginia Polytechnic Institute and State University,Associate Professor,Amy J. Pruden-Bagchi,Amy Pruden-Bagchi,2008,Y,PROF,F,,,Civil and Environmental Engineering,https://www.linkedin.com/in/amy-pruden-bagchi-2a78277/,,Universiy of Cincinnati,2002,.,,Universiy of Cincinnati,,"Coloado State University, 2002-2008",,,
27,Amy,Shuster,Virginia Polytechnic Institute and State University,Assistant Professor,Amy L. Shuster,Amy Shuster,2015,N,VIS ASST PROF,F,,The Ohio State University,Philosophy,https://www.linkedin.com/in/amy-shuster-aa389b30/; https://philosophy.osu.edu/news/welcome-tristram-mcpherson-and-amy-shuster,,Princeton University,2009,,,Georegetown University,1993-1997,"University of Minnesota, 2008-2011; Virginia Tech, 2011- 2014; The Ohio State University 2015-2018; Dennison University, 2018- ",,,['AUTHOR_ID:42662243300']
28,Amy,Brunner,Virginia Polytechnic Institute and State University,Associate Professor,Amy M. Brunner,Amy Brunner,,Y,ASSOC,F,,,Forest Resources,https://frec.vt.edu/people/Brunner.html,,Oregon State University,1998,Vanderbilt University,1984,College of Wooster,1982,,,,['AUTHOR_ID:19638522000']
29,Amy,Nelson,Virginia Polytechnic Institute and State University,Associate Professor,Amy Nelson,Amy Nelson,1992,Y,ASSOC,F,,,History,,https://amynelson.net/wp-content/uploads/2020/01/NelsonCVWeb1-20.pdf,University of Michigan,1993,.,,University of Californa Santa Barbara,1983,,,,['AUTHOR_ID:56053683700']
30,Amy,Azano,Virginia Polytechnic Institute and State University,Assistant Professor,Amy P. Azano,Amy Azano,2012,Y,ASSOC,F,University of Virginia (Research Scientist),,Education,https://drive.google.com/file/d/1OfVCXh83fDJ7fg0fVAJxEyFi51GlpZov/preview,,University of Virginia,2009,Old Dominon University,1997,Louisiana State University,1994,,University of Virginia 2009-2012,,['AUTHOR_ID:56340845600']
31,Ana,Aizcorbe,Virginia Polytechnic Institute and State University,Research Professor,Ana M. Aizcorbe,Ana Aizcorbe,2016,N,,F,,US Bureau of Economic Analysis,Virginia Bioinformatics Institute,https://www.linkedin.com/in/ana-aizcorbe-275a342a/,,Boston College,1980-1986,.,,Georegetown University,,Virginia Tech 2013-2016; Bureau of Labor Statistics 1986-1992; Federal Reserve Board 1992-2003; Bureau of Economic Analysis 2004-2013;,,,
32,Anamaria,Bukvic,Virginia Polytechnic Institute and State University,Assistant Professor,Anamaria Bukvic,Anamaria Bukvic,2008,Y,ASST,F,,,Geographu,,https://geography.vt.edu/content/dam/geography_vt_edu/files/Bukvic%20Anamaria%20CV.pdf,Virginia Tech,2012,University of Cincinnati,2006,"University of Zagreb, Croatia",1998,,,,['AUTHOR_ID:55944520200']
33,Anastasia,Nylund,Virginia Polytechnic Institute and State University,Assistant Professor,Anastasia Nylund,Anastasia Nylund,2014,N,DIRECTOR,F,,Georgetown University,Linguistics,https://www.linkedin.com/in/anastasianylund/,,Georegetown University,2013,.,,Cardfiff University,,Virginia Tech 2013-2014; Georgetown University 2014-2018;,,,
34,Anastasia,Vogt,Virginia Polytechnic Institute and State University,Associate Professor,Anastasia S. Vogt Yuan,Anastasia Vogt Yuan,2004,Y,ASSOC,F,,,Sociology,,https://docs.google.com/document/d/1PR2b7d3WJnXCGWjxsUFaz5yod3vsHl6AV8kfFlR2mNM/preview,The Ohio State University,2002,University of Iowa,1997,Grinnel College,1994,,"Rutgers University, 2002-2004",,['AUTHOR_ID:18435241700']
35,Andrea,Baldwin,Virginia Polytechnic Institute and State University,Assistant Professor,Andrea Baldwin,Andrea Baldwin,2018,Y,ASST,F,,,Sociology,https://liberalarts.vt.edu/departments-and-schools/department-of-sociology/faculty/andrea-baldwin.html,https://drive.google.com/file/d/1BbVBugObnHP31bDHYWTtucBmANVyeCAk/view,University of West Indies,2013,University of West Indies,2006,University of West Indies,2002,Connecticut College 2015-2018; Auburn University 2013-2015;,,,
36,Andrea,Wittenborn,Virginia Polytechnic Institute and State University,Assistant Professor,Andrea K. Wittenborn,Andrea Wittenborn,2014,N,ASSOC,F,,Michigan State University,Human Development,https://expertfile.com/experts/andrea.wittenborn,https://hdfs.msu.edu/sites/default/files/2019-10/Curriculum%20Vitae%2010.15.19.pdf,Purdue University,2007,Purdue University,2004,Southeast Missouri State University,2001,"Virginia Tech, 2007-2014;",,,['AUTHOR_ID:13610693100']
37,Andrea,Ogier,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Andrea L. Ogier,Andrea Ogier,2008,Y,,F,,,University Libraries,https://www.linkedin.com/in/andrea-ogier-40450b36/,,,,"University of Illinois, Urbana Champaigne, Wake Forest University",2014;2004,The Collge of William and Mary,2002,,,,['AUTHOR_ID:55647192300']
38,Andrea,Dietrich,Virginia Polytechnic Institute and State University,Professor,Andrea M. Dietrich,Andrea Dietrich,1988,Y,PROF,F,,,Civil and Environmental Engineering,https://www.linkedin.com/in/andrea-dietrich-a187b19/,,"University of North Carolina, Chapel Hill",1987,Drexel University,,Boston College,,,,,['AUTHOR_ID:35565681400']
39,Andrea,Bertke,Virginia Polytechnic Institute and State University,Assistant Professor,Andrea S. Bertke,Andrea Bertke,2009,Y,ASSOC,F,,,Public Health,https://www.vetmed.vt.edu/people/bios/bertke.asp,,Uniformed Services University of the Health Sciences,2007,,,Bowling Green State University,2001,,University of California San Francisco 2009-2012; University of Texas Medical Branch 2007-2008; State University of New York at Buffalo 2008;,,['AUTHOR_ID:16432501400']
40,Angela,Anderson,Virginia Polytechnic Institute and State University,Assistant Professor,Angela Anderson,Angela Anderson,2018,Y,ASST,F,,,"Human Nutrition, Foods and Exercise",,https://www.linkedin.com/in/angela-anderson-71a7555/,Virginia Tech,2008-2013,.,,Pacific Lutheran University,1992-1997,"Virginia Tech, 2013-2014; Pikes Peak Community College; Colorado College;",,,"['AUTHOR_ID:55668892700', 'AUTHOR_ID:57192895359']"
41,Angela,Huebner,Virginia Polytechnic Institute and State University,Associate Professor,Angela J. Huebner,Angela Huebner,2015,N,,F,,INDUSTRY,Human Development,,https://static1.squarespace.com/static/5a7bc95f1f318dda982c4c61/t/5a98618fc8302591a008aade/1519935887607/Huebner+brief+bio+2018.pdf; https://www.yumpu.com/en/document/view/3381850/dr-angela-j-huebner-1-1-curriculum-vitae-angela-j-huebner,"University of Arizona, Tuscon",1995,"University of Arizona, Tuscon",1993,University of Nebraska,1989,Virginia Tech 1999-2015;,,,['AUTHOR_ID:7007176577']
42,Angela,Scarpa-Friedman,Virginia Polytechnic Institute and State University,Associate Professor,Angela Scarpa-Friedman,Angela Scarpa-Friedman,1997,Y,PROF,F,,,Psychology,,https://0e645c05-d03e-414d-aaeb-ce9c0a2017d8.filesusr.com/ugd/063783_ab8b651cafd94dfeb6cdc607ea6786bb.pdf,University of Southern California,1993,University of Southern California,1990,Saint Peter's College,1998," Eastern Washington University 1994-1996;University of Georgia, 1996-1997;",University of Pittsburgh 1993-1994,,
43,Anisa,Zvonkovic,Virginia Polytechnic Institute and State University,Professor,Anisa Zvonkovic,Anisa Zvonkovic,2018,N,PROF/DEAN,F,,East Carolina University,Human Development and Family Sciences,,http://www2.ecu.edu/HHP/docs/profiles/hhp/zvonkovic.pdf,Pennsylvania State University,1987,Pennsylvania State University,1983,University of Virginia,1981,"Oregon State University. 1985-2005; Texas Tech University, 2005-2011; Virginia Tech 2011-2018;",,,['AUTHOR_ID:6603231480']
44,Anita,Puckett,Virginia Polytechnic Institute and State University,Associate Professor,Anita M. Puckett,Anita Puckett,1993,Y,ASSOC,F,,,Religion and Culture,https://liberalarts.vt.edu/departments-and-schools/department-of-religion-and-culture/faculty/anita-puckett.html ; https://www.linkedin.com/in/anita-puckett-26a38267/ ,,University of Texas at Austin ,,"University of North Carolina, Chapel Hill; University of Kentucky ",,University of Kentucky,,"Southeast Community and Technical College, 1985-1993",,,['AUTHOR_ID:55641093700']
45,Anita,Walz,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Anita Walz,Anita Walz,2013,Y,ASST,F,,,University Libraries,https://www.linkedin.com/in/anita-walz-7b525b13/,,,,University of Illinois at Urbana-Champaigne,2001-2002,Wheaton College,1992-1996,,,,
46,Anita,Zatori,Virginia Polytechnic Institute and State University,Assistant Professor,Anita Zatori,Anita Zatori,2018,N,ASST,F,,Radford University,Hospitality and Tourism,https://scholar.google.com/citations?user=9pm5aB4AAAAJ&hl=en; https://hu.linkedin.com/in/anitazatoriphd; https://data.richmond.com/salaries/search?q=Anita+Zatori; https://www.radford.edu/content/cehd/home/rcpt/about/faculty/anita-zatori.html,https://chronicle-vitae-production.s3.amazonaws.com/uploads/dossier_document/file/2070877/CV_Anita_Zatori_.docx?X-Amz-Expires=600&X-Amz-Date=20200521T151901Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIAXENA4BJX2ESXUQ/20200521/us-east-1/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=05efac0d47aa4b6b8f5dfa523bbe87817795c8b7fe3ad54be32ea852b5cd6d92,Corvinus University,2007-2014,Constantin University,2002-2007,,,"Budapest Metropolitan University 2013-2015; Virginia Tech, 2016-2017;",,,['AUTHOR_ID:56993810400']
47,Anju,Seth,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Anju Seth,Anju Seth,2008,Y,PROF,F,,"Indian Institute of Management, Calcutta(2019)",Management,https://www.linkedin.com/in/anju-seth-3146024/?originalSubdomain=in,,University of Michigan,1983-1988,Indian Institute of Management,1976-1978,Indraprathsra College,1973-1976,"University of Houston 1987-1994 ; University of Illinois at Urbana-Champaign 1994-2008 ; Virginia tech, 2008-2018;",,,['AUTHOR_ID:57191450116']
48,Ann,Laberge,Virginia Polytechnic Institute and State University,Associate Professor,Ann F. Laberge,Ann Laberge,,N,,F,,RETIRED,Science and Technology,https://vtnews.vt.edu/articles/2014/11/111415-clahs-labergeemerita.html,,University of Tennesse,,Vanderbilt University,,Middlebury College,,,,,
49,Ann,Kilkelly,Virginia Polytechnic Institute and State University,Professor,Ann G. Kilkelly,Ann Kilkelly,,N,,F,,RETIRED,Theater Arts and Woman's Gender Studies,https://vtnews.vt.edu/articles/2017/01/clahs-kilkelly.html,,University of Utah,,University of Utah,,Universiy of Minnesota,,,,,['AUTHOR_ID:57013459100']
50,Ann,Stevens,Virginia Polytechnic Institute and State University,Professor,Ann M. Stevens,Ann Stevens,,Y,ASST,F,,,Music,https://www.performingarts.vt.edu/index.php/faculty-staff/view/annie-stevens,,Eastman School of Music,,Northwestern University,,Rutgers University,,,,,['AUTHOR_ID:55568518936']
51,Ann-Marie,Knoblauch,Virginia Polytechnic Institute and State University,Associate Professor,Ann-Marie Knoblauch,Ann-Marie Knoblauch,1998,Y,ASSOC,F,,,Art History and Visual Culture,https://www.linkedin.com/in/ann-marie-knoblauch-7478bb61/,,Bryn Mawr College,1997,,,New York University,1988,"Miami University, 1996-1998",,,['AUTHOR_ID:57209209054']
52,Anna,Ward,Virginia Polytechnic Institute and State University,Assistant Professor,Anna K. Ward Bartlett,Anna Ward Bartlett,2013,Y,ASST,F,,,Management,https://management.pamplin.vt.edu/faculty/directory/ward-bartlett-a-k.html,,University of South Carolina,2013,University of Tennessee,2008,The University of the South,2003,,,,['AUTHOR_ID:54386102700']
53,Anna-Marion,Bieri,Virginia Polytechnic Institute and State University,Assistant Professor,Anna-Marion Bieri,Anna-Marion Bieri,2017,N,ASST,F,,Bieri IP Partner,"Science, Technology and Law",https://www.bieri-ip.ch/index.php/about-us/anna-marion-bieri; https://data.richmond.com/salaries/2016/state/virginia-polytechnic-institute-and-state-university-virginia-tech/anna-marion-bieri,,,,"Max Planck Institute in Munich, Germany",,"Durham University, UK",,Virginia Tech 2010-2017,,,
54,Anne,Staples,Virginia Polytechnic Institute and State University,Assistant Professor,Anne E. Staples,Anne Staples,2008,Y,ASSOC,F,,,Biomedical Engineering,https://www.linkedin.com/in/anne-staples-4180834/,,Princeton University,2006,.,,Cornell University,2000,,"U.S. Naval Research Lab, 2006-2008;",,['AUTHOR_ID:53664439300']
55,Anne,Khademian,Virginia Polytechnic Institute and State University,Professor,Anne M. Khademian,Anne Khademian,2003,Y,PROF/PRESIDENTIAL FELLOW,F,,,Public and International Affairs,https://www.linkedin.com/in/annekhademian/,,"Washington University, St. Louis",,Michigan State University,,Michigan State University,,"University of Wisconsin-Madison, 1996-1997; ","University of Pennsylvania, 2001",,['AUTHOR_ID:6602799184']
56,Anne,Zajac,Virginia Polytechnic Institute and State University,Associate Professor,Anne M. Zajac,Anne Zajac,1986,Y,PROF,F,,,Biomedical Sciences and Pathobiology,https://www.wormx.info/azajac,,The Ohio State University,1986,Michigan State University,,University of Michigan,,,,,['AUTHOR_ID:35557443100']
57,Anne,Ryan,Virginia Polytechnic Institute and State University,Assistant Professor,Anne R. Driscoll,Anne Ryan Driscoll,2011,Y,ASST,F,,,Statistics,,https://www.stat.vt.edu/content/dam/stat_vt_edu/graphics-and-pdfs/faculty-cvs/2018/Driscoll_CV.pdf,Virginia Tech,2011,Virginia Tech,2007,Emory and Henry College,2006,,,,['AUTHOR_ID:36992638200']
58,Anne,Stevens,Virginia Polytechnic Institute and State University,Assistant Professor,Anne Stevens,Anne Stevens,1997,Y,PROF,F,,,Biological Sciences,https://www.biol.vt.edu/faculty/stevens/index.html,,University of Illinois at Urbana Champaigne,1987-1993,University of Illinois at Urbana Champaigne,,Iowa State University,1983-1987,,"University of Iowa, 1992-1996 ",,
59,Anne-Lise,Velez,Virginia Polytechnic Institute and State University,Assistant Professor,Anne-Lise Velez,Anne-Lise Velez,2018,Y,ASST,F,,,Architecture and Urban Studies,https://www.linkedin.com/in/anne-lise-velez-8b383a25/,,North Carolina State University,2016,North Carolina State University,,Virginia Tech,1998-2003,,North Carolina State University 2016-2017; Virginia Tech 2017-2018,,['AUTHOR_ID:56417417300']
60,Anne-Sophie,Chaxel,Virginia Polytechnic Institute and State University,Assistant Professor,Anne-Sophie Chaxel,Anne-Sophie Chaxel,2015,Y,ASST,F,,HEC Paris(2019),Marketing,https://www.hec.edu/en/faculty-research/faculty-directory/faculty-member/chaxel-anne-sophie,http://www.aschaxel.com/uploads/1/3/0/7/13072606/cv_august_2019.pdf,Cornell University,2012,Paris-Dauphine University; HEC Paris,2007; 2005,,,McGill University 2012 – 2015; Virginia Tech 2015 - 2019;,,,['AUTHOR_ID:36169200700']
61,Annette,Bailey,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Annette F. Bailey,Annette Bailey,2005,Y,,F,,,University Libraries,https://www.linkedin.com/in/annette-bailey-067a7220/,,,,,,,,,,,['AUTHOR_ID:7402596179']
62,Annie,Stevens,Virginia Polytechnic Institute and State University,Assistant Professor,Annie J. Stevens,Annie Stevens,,Y,ASST,F,,,Music,https://www.performingarts.vt.edu/index.php/faculty-staff/view/annie-stevens; http://www.anniepercussion.com/bio.html,,Eastman School of Music,,Rutgers University,,Northwestern University,,,,,
63,Annie,Pearce,Virginia Polytechnic Institute and State University,Associate Professor,Annie R. Pearce,Annie Pearce,2006,Y,ASSOC,F,,,Construction and Building,https://www.linkedin.com/in/annie-pearce-5745a511/,,Georgia Institute of Technology,1994-1999,Georgia Institute of Technology,1992-1994,Carnegie Melon University,1988-1992,," Georgia Tech, 1997-2005; ",,['AUTHOR_ID:7102365683']
64,Aparna,Sundar,Virginia Polytechnic Institute and State University,Assistant Professor,Aparna Sundar,Aparna Sundar,2015,N,RESEARCHER,F,,University of Oregon,,,https://www.linkedin.com/in/aparnasundar/,University of Cincinnati,2010-2014,University of Cincinnati,2005-2008,,,"Virginia Tech, 2014-2015; University of Oregon, 2015-2019; ","University of Washington, 2019-",,
65,April,Few-Demo,Virginia Polytechnic Institute and State University,Associate Professor,April L. Few-Demo,April Few-Demo,2000,Y,PROF/ DEPT HEAD,F,,,Human Development and Family Science,,https://drive.google.com/file/d/19y9XGQq2eH5omVvYjb5J-AT5WTDrozhL/preview,University of Georgia,1999,Monterey Institute of International Studies,1993,University of Georgia,1991,,,,['AUTHOR_ID:36727545100']
66,Ariana,Wyatt,Virginia Polytechnic Institute and State University,Assistant Professor,Ariana E. Wyatt,Ariana Wyatt,2010,Y,ASST,F,,,Music,linkedin.com/in/ariana-wyatt-b85aa2b3/,,,,University of Southern California,,University of Southern California,,,,,['AUTHOR_ID:56406951900']
67,Ashley,Dayer,Virginia Polytechnic Institute and State University,Assistant Professor,Ashley Dayer,Ashley Dayer,2016,Y,ASST,F,,,Fish and Wildlife COnservation,https://www.linkedin.com/in/ashley-dayer-831553/,,Cornell University ,2009-2013,Colorado State University,2003-2006,Harvard University,1997-2001,"State University of New York, 2014-2016",,,['AUTHOR_ID:21833585300']
68,Ashley,Heflin,Virginia Polytechnic Institute and State University,Assistant Professor,Ashley Heflin,Ashley Heflin,2011,Y,ASST,f,,,Science and Technology in Society,https://www.regenmed.vetmed.vt.edu/index.php/people/faculty-and-staff/13-ashley-shew-heflin,https://docs.google.com/document/d/12ve262Bi2CatOIny7S3jbW3xYsOMwivA1wLbtXy640c/preview,Virginia Tech ,2011,Virginia Tech ,2007,University of South Carolina,2005,,,,
69,Ashley,Johnson,Virginia Polytechnic Institute and State University,Assistant Professor,Ashley Johnson,Ashley Johnson,2015,Y,ASST PROF of PRAC,F,,,Construction,https://www.linkedin.com/in/ashley-johnson-b8b4b09/,,.,,Florida State University,2012-2014,North Carolina State University;North Carolina State University,2004-2009;2004-2009,,,,['AUTHOR_ID:57197853155']
